N,best_energy,merit_factor,energy_evals,best_s
75,521,5.3982725527831095,202547,1 1 -1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 -1 1 1 1 -1 -1 1 -1 -1 1 1 -1 -1 1 -1 1 1 -1 1 1 1 -1 -1 -1 1 1 1 -1 1 -1 -1 1 -1 -1 1 1 1 1 -1 1 -1 -1 -1 -1 -1 1 -1 1 1 1
80,608,5.2631578947368425,200045,1 1 1 -1 1 1 -1 -1 1 -1 1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 -1 -1 -1 1 -1 -1 1 1 -1 -1 -1 1 1 -1 -1 1 -1 -1 1 -1 1 1 1 1 1 -1 -1 1 -1 1 1 1 1 1 1 -1 1 1 1 -1 -1 -1 -1 1 1 1 -1 -1 -1 1 1 1 1 1 1 1 1 1
82,657,5.117199391171994,205045,-1 1 -1 1 -1 1 -1 -1 -1 1 -1 1 -1 1 1 1 1 1 1 -1 -1 -1 1 1 1 -1 -1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 1 -1 1 -1 1 1 -1 1 -1 -1 -1 1 1 -1 -1 -1 -1 -1 1 -1 1 1 -1 1 1 -1 -1 1 1 1 -1 -1 1 -1 -1 1 1 -1 1 1
5,2,6.25,31695,-1 1 -1 -1 -1
10,13,3.8461538461538463,200220,-1 -1 -1 -1 1 -1 1 1 -1 -1
15,15,7.5,201154,1 1 1 1 1 -1 -1 1 1 -1 -1 1 -1 1 -1
20,26,7.6923076923076925,200120,1 -1 1 -1 1 1 1 1 -1 1 1 1 1 -1 -1 1 -1 -1 1 1
25,36,8.680555555555555,200100,1 -1 -1 1 1 -1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 -1 1 1 1 -1 -1 -1
30,67,6.7164179104477615,201087,1 -1 1 -1 -1 -1 1 -1 1 -1 1 1 -1 1 1 1 -1 -1 1 -1 -1 -1 -1 -1 1 1 -1 -1 -1 -1
35,101,6.064356435643564,203078,-1 1 -1 1 1 -1 1 -1 1 -1 -1 1 -1 -1 1 1 -1 1 -1 -1 -1 1 1 1 -1 -1 1 1 -1 -1 -1 -1 -1 -1 -1
40,148,5.405405405405405,200070,1 -1 1 -1 1 -1 1 1 -1 -1 -1 1 1 1 1 -1 -1 1 1 -1 -1 1 1 -1 1 1 -1 1 -1 -1 1 -1 -1 1 1 1 1 1 1 1
45,158,6.408227848101266,202565,-1 -1 -1 -1 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 1 1 1 1 -1 -1 -1 -1 1 -1 -1 1 1 1 -1 -1 1 -1 -1 1 1 -1 -1 1 -1 1 1 -1
50,225,5.555555555555555,200060,1 1 1 -1 -1 -1 -1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 1 1 -1 1 1 -1 -1 -1 1 -1 -1 1 -1 1 1 -1 1 1 -1 -1 1 -1 1 -1 1 -1 1
55,275,5.5,203557,-1 1 -1 -1 -1 -1 -1 1 -1 1 1 1 -1 1 -1 -1 -1 -1 -1 1 1 -1 1 1 1 -1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 1 1 -1 -1 1 -1 1 -1 1 1 -1 1 -1 -1 1 1 1
60,318,5.660377358490566,204054,1 1 -1 1 -1 -1 -1 1 -1 -1 -1 1 -1 1 1 1 -1 1 1 1 1 1 1 -1 1 -1 1 1 -1 1 1 1 -1 1 -1 -1 1 -1 1 1 -1 1 1 -1 -1 -1 1 1 -1 -1 -1 1 1 -1 1 1 1 -1 -1 -1
65,396,5.334595959595959,201551,-1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 1 1 -1 1 1 -1 -1 1 -1 -1 -1 1 -1 -1 1 1 1 -1 -1 -1 1 -1 1 1 -1 -1 -1 1 1 1 -1 1 -1 -1 -1 -1 1 1 1 1 -1 1 -1 1 -1 -1 1 1 1 1 -1 1 -1
66,409,5.32518337408313,204651,1 -1 -1 1 1 -1 -1 1 -1 -1 -1 1 -1 -1 -1 1 -1 1 -1 -1 -1 1 -1 1 1 -1 -1 -1 -1 -1 1 -1 1 1 -1 -1 -1 -1 1 1 -1 -1 -1 1 1 -1 1 -1 1 1 -1 1 -1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1
